county,stname,ctyname,variable,value,year.label
009,Maryland,Calvert County,popestimate2012,89715,2012
011,Maryland,Caroline County,popestimate2012,32631,2012
013,Maryland,Carroll County,popestimate2012,167032,2012
015,Maryland,Cecil County,popestimate2012,101753,2012
017,Maryland,Charles County,popestimate2012,150660,2012
019,Maryland,Dorchester County,popestimate2012,32473,2012
021,Maryland,Frederick County,popestimate2012,239643,2012
023,Maryland,Garrett County,popestimate2012,29964,2012
025,Maryland,Harford County,popestimate2012,248556,2012
027,Maryland,Howard County,popestimate2012,299213,2012
029,Maryland,Kent County,popestimate2012,19970,2012
031,Maryland,Montgomery County,popestimate2012,1005852,2012
033,Maryland,Prince George's County,popestimate2012,881870,2012
035,Maryland,Queen Anne's County,popestimate2012,48503,2012
037,Maryland,St. Mary's County,popestimate2012,108805,2012
039,Maryland,Somerset County,popestimate2012,26034,2012
041,Maryland,Talbot County,popestimate2012,37983,2012
043,Maryland,Washington County,popestimate2012,149036,2012
045,Maryland,Wicomico County,popestimate2012,100556,2012
047,Maryland,Worcester County,popestimate2012,51580,2012
510,Maryland,Baltimore city,popestimate2012,622973,2012
000,Maryland,Maryland,popestimate2013,5923704,2013
001,Maryland,Allegany County,popestimate2013,73566,2013
003,Maryland,Anne Arundel County,popestimate2013,555438,2013
005,Maryland,Baltimore County,popestimate2013,822238,2013
009,Maryland,Calvert County,popestimate2013,90438,2013
011,Maryland,Caroline County,popestimate2013,32647,2013
013,Maryland,Carroll County,popestimate2013,167199,2013
015,Maryland,Cecil County,popestimate2013,101891,2013
017,Maryland,Charles County,popestimate2013,152649,2013
019,Maryland,Dorchester County,popestimate2013,32559,2013
021,Maryland,Frederick County,popestimate2013,241143,2013
023,Maryland,Garrett County,popestimate2013,29964,2013
025,Maryland,Harford County,popestimate2013,248892,2013
027,Maryland,Howard County,popestimate2013,303583,2013
029,Maryland,Kent County,popestimate2013,19812,2013
031,Maryland,Montgomery County,popestimate2013,1016064,2013
033,Maryland,Prince George's County,popestimate2013,890117,2013
035,Maryland,Queen Anne's County,popestimate2013,48527,2013
037,Maryland,St. Mary's County,popestimate2013,109228,2013
039,Maryland,Somerset County,popestimate2013,25960,2013
041,Maryland,Talbot County,popestimate2013,37898,2013
043,Maryland,Washington County,popestimate2013,148994,2013
045,Maryland,Wicomico County,popestimate2013,100850,2013
