stname,ctyname,county,label,tot.pop,year.label
Maryland,Baltimore County,005,popestimate2003,777756,2003
Maryland,Calvert County,009,popestimate2003,83007,2003
Maryland,Caroline County,011,popestimate2003,30553,2003
Maryland,Carroll County,013,popestimate2003,161389,2003
Maryland,Cecil County,015,popestimate2003,92444,2003
Maryland,Charles County,017,popestimate2003,131942,2003
Maryland,Dorchester County,019,popestimate2003,30628,2003
Maryland,Frederick County,021,popestimate2003,213827,2003
Maryland,Garrett County,023,popestimate2003,30182,2003
Maryland,Harford County,025,popestimate2003,231411,2003
Maryland,Howard County,027,popestimate2003,263186,2003
Maryland,Kent County,029,popestimate2003,19505,2003
Maryland,Montgomery County,031,popestimate2003,910498,2003
Maryland,Prince George's County,033,popestimate2003,837648,2003
Maryland,Queen Anne's County,035,popestimate2003,43688,2003
Maryland,St. Mary's County,037,popestimate2003,92333,2003
Maryland,Somerset County,039,popestimate2003,25541,2003
Maryland,Talbot County,041,popestimate2003,34994,2003
Maryland,Washington County,043,popestimate2003,136872,2003
Maryland,Wicomico County,045,popestimate2003,88463,2003
Maryland,Worcester County,047,popestimate2003,49524,2003
Maryland,Baltimore city,510,popestimate2003,629033,2003
Maryland,Maryland,000,popestimate2004,5546935,2004
Maryland,Allegany County,001,popestimate2004,74408,2004
Maryland,Anne Arundel County,003,popestimate2004,513259,2004
Maryland,Baltimore County,005,popestimate2004,784371,2004
Maryland,Calvert County,009,popestimate2004,84928,2004
Maryland,Caroline County,011,popestimate2004,30653,2004
Maryland,Carroll County,013,popestimate2004,163915,2004
Maryland,Cecil County,015,popestimate2004,94809,2004
Maryland,Charles County,017,popestimate2004,135601,2004
Maryland,Dorchester County,019,popestimate2004,31086,2004
Maryland,Frederick County,021,popestimate2004,217776,2004
Maryland,Garrett County,023,popestimate2004,30147,2004
Maryland,Harford County,025,popestimate2004,234849,2004
Maryland,Howard County,027,popestimate2004,265919,2004
Maryland,Kent County,029,popestimate2004,19513,2004
Maryland,Montgomery County,031,popestimate2004,914991,2004
Maryland,Prince George's County,033,popestimate2004,845950,2004
Maryland,Queen Anne's County,035,popestimate2004,44411,2004
Maryland,St. Mary's County,037,popestimate2004,94900,2004
Maryland,Somerset County,039,popestimate2004,25807,2004
Maryland,Talbot County,041,popestimate2004,35793,2004
Maryland,Washington County,043,popestimate2004,139423,2004
Maryland,Wicomico County,045,popestimate2004,90210,2004
Maryland,Worcester County,047,popestimate2004,49994,2004
Maryland,Baltimore city,510,popestimate2004,624222,2004
Maryland,Maryland,000,popestimate2005,5592379,2005
Maryland,Allegany County,001,popestimate2005,73979,2005
Maryland,Anne Arundel County,003,popestimate2005,516171,2005
Maryland,Baltimore County,005,popestimate2005,789110,2005
Maryland,Calvert County,009,popestimate2005,86294,2005
Maryland,Caroline County,011,popestimate2005,31416,2005
Maryland,Carroll County,013,popestimate2005,165519,2005
Maryland,Cecil County,015,popestimate2005,96836,2005
Maryland,Charles County,017,popestimate2005,138560,2005
Maryland,Dorchester County,019,popestimate2005,31422,2005
Maryland,Frederick County,021,popestimate2005,221201,2005
Maryland,Garrett County,023,popestimate2005,30083,2005
Maryland,Harford County,025,popestimate2005,238402,2005
Maryland,Howard County,027,popestimate2005,268590,2005
Maryland,Kent County,029,popestimate2005,19695,2005
Maryland,Montgomery County,031,popestimate2005,921531,2005
Maryland,Prince George's County,033,popestimate2005,853271,2005
Maryland,Queen Anne's County,035,popestimate2005,44879,2005
Maryland,St. Mary's County,037,popestimate2005,96871,2005
Maryland,Somerset County,039,popestimate2005,25793,2005
Maryland,Talbot County,041,popestimate2005,36423,2005
Maryland,Washington County,043,popestimate2005,142084,2005
Maryland,Wicomico County,045,popestimate2005,92508,2005
Maryland,Worcester County,047,popestimate2005,50181,2005
Maryland,Baltimore city,510,popestimate2005,621560,2005
Maryland,Maryland,000,popestimate2006,5627367,2006
Maryland,Allegany County,001,popestimate2006,73980,2006
Maryland,Anne Arundel County,003,popestimate2006,517698,2006
Maryland,Baltimore County,005,popestimate2006,793733,2006
Maryland,Calvert County,009,popestimate2006,87043,2006
Maryland,Caroline County,011,popestimate2006,32214,2006
Maryland,Carroll County,013,popestimate2006,166950,2006
Maryland,Cecil County,015,popestimate2006,98821,2006
Maryland,Charles County,017,popestimate2006,141164,2006
Maryland,Dorchester County,019,popestimate2006,31677,2006
Maryland,Frederick County,021,popestimate2006,224211,2006
Maryland,Garrett County,023,popestimate2006,30147,2006
Maryland,Harford County,025,popestimate2006,241163,2006
Maryland,Howard County,027,popestimate2006,271793,2006
Maryland,Kent County,029,popestimate2006,19786,2006
Maryland,Montgomery County,031,popestimate2006,926492,2006
Maryland,Prince George's County,033,popestimate2006,852097,2006
Maryland,Queen Anne's County,035,popestimate2006,45716,2006
Maryland,St. Mary's County,037,popestimate2006,98849,2006
Maryland,Somerset County,039,popestimate2006,26139,2006
Maryland,Talbot County,041,popestimate2006,37000,2006
Maryland,Washington County,043,popestimate2006,144286,2006
Maryland,Wicomico County,045,popestimate2006,94621,2006
Maryland,Worcester County,047,popestimate2006,50678,2006
Maryland,Baltimore city,510,popestimate2006,621109,2006
Maryland,Maryland,000,popestimate2007,5653408,2007
Maryland,Allegany County,001,popestimate2007,74449,2007
Maryland,Anne Arundel County,003,popestimate2007,520503,2007
Maryland,Baltimore County,005,popestimate2007,796073,2007
Maryland,Calvert County,009,popestimate2007,87445,2007
Maryland,Caroline County,011,popestimate2007,32720,2007
Maryland,Carroll County,013,popestimate2007,167390,2007
Maryland,Cecil County,015,popestimate2007,99628,2007
Maryland,Charles County,017,popestimate2007,142721,2007
Maryland,Dorchester County,019,popestimate2007,32172,2007
Maryland,Frederick County,021,popestimate2007,227463,2007
Maryland,Garrett County,023,popestimate2007,30148,2007
Maryland,Harford County,025,popestimate2007,241634,2007
Maryland,Howard County,027,popestimate2007,275196,2007
Maryland,Kent County,029,popestimate2007,19801,2007
Maryland,Montgomery County,031,popestimate2007,931694,2007
Maryland,Prince George's County,033,popestimate2007,849916,2007
Maryland,Queen Anne's County,035,popestimate2007,46517,2007
Maryland,St. Mary's County,037,popestimate2007,100599,2007
Maryland,Somerset County,039,popestimate2007,26534,2007
Maryland,Talbot County,041,popestimate2007,37167,2007
Maryland,Washington County,043,popestimate2007,146173,2007
Maryland,Wicomico County,045,popestimate2007,96110,2007
Maryland,Worcester County,047,popestimate2007,51049,2007
Maryland,Baltimore city,510,popestimate2007,620306,2007
Maryland,Maryland,000,popestimate2008,5684965,2008
