stname,ctyname,county,label,tot.pop,year.label
Maryland,Calvert County,009,popestimate072002,80366,2002
Maryland,Caroline County,011,popestimate072002,30140,2002
Maryland,Carroll County,013,popestimate072002,158542,2002
Maryland,Cecil County,015,popestimate072002,90066,2002
Maryland,Charles County,017,popestimate072002,127647,2002
Maryland,Dorchester County,019,popestimate072002,30415,2002
Maryland,Frederick County,021,popestimate072002,208444,2002
Maryland,Garrett County,023,popestimate072002,29831,2002
Maryland,Harford County,025,popestimate072002,226929,2002
Maryland,Howard County,027,popestimate072002,259254,2002
Maryland,Kent County,029,popestimate072002,19438,2002
Maryland,Montgomery County,031,popestimate072002,906488,2002
Maryland,Prince George's County,033,popestimate072002,823554,2002
Maryland,Queen Anne's County,035,popestimate072002,42639,2002
Maryland,St. Mary's County,037,popestimate072002,89724,2002
Maryland,Somerset County,039,popestimate072002,25359,2002
Maryland,Talbot County,041,popestimate072002,34346,2002
Maryland,Washington County,043,popestimate072002,134585,2002
Maryland,Wicomico County,045,popestimate072002,86035,2002
Maryland,Worcester County,047,popestimate072002,48184,2002
Maryland,Baltimore city,510,popestimate072002,642514,2002
Maryland,Maryland,000,popestimate072003,5491971,2003
Maryland,Allegany County,001,popestimate072003,73350,2003
Maryland,Anne Arundel County,003,popestimate072003,503299,2003
Maryland,Baltimore County,005,popestimate072003,773930,2003
Maryland,Calvert County,009,popestimate072003,83305,2003
Maryland,Caroline County,011,popestimate072003,30672,2003
Maryland,Carroll County,013,popestimate072003,162250,2003
Maryland,Cecil County,015,popestimate072003,92407,2003
Maryland,Charles County,017,popestimate072003,131099,2003
Maryland,Dorchester County,019,popestimate072003,30459,2003
Maryland,Frederick County,021,popestimate072003,212655,2003
Maryland,Garrett County,023,popestimate072003,29944,2003
Maryland,Harford County,025,popestimate072003,230720,2003
Maryland,Howard County,027,popestimate072003,262672,2003
Maryland,Kent County,029,popestimate072003,19498,2003
Maryland,Montgomery County,031,popestimate072003,915237,2003
